Player ID,Date,MoM,Chase,5H,5H_2,10_Haul,O,R,W,ECON,0s,4s,6s,WD,NB,O_2,R_2,W_2,ECON_2,0s_2,4s_2,6s_2,WD_2,NB_2,Result Label,Rating
144,2010-09-07,0,1,0.0,0.0,0.0,0.30995106035889075,0.13656387665198239,0.1111111111111111,0.05433333333333333,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.255,0.3333333333333333,0.13076923076923078,0.0,0.0,0.0,0.2,0.0,0,0.27129423076923076
388,2010-09-07,0,1,0.0,0.0,0.0,0.14681892332789562,0.12334801762114539,0.1111111111111111,0.10366666666666666,0.0,0.0,0.0,0.14285714285714285,0.0,0.34545454545454546,0.39,0.0,0.1576923076923077,0.0,0.0,0.0,0.2,0.0,0,0.07320064102564103
536,2010-09-07,0,1,0.0,0.0,0.0,0.21207177814029365,0.20264317180616742,0.2222222222222222,0.11766666666666666,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.1,0.0,0.1280769230769231,0.0,0.0,0.0,0.0,0.0,0,0.13947692307692308
287,2010-09-07,0,1,0.0,0.0,0.0,0.3915171288743883,0.21585903083700442,0.2222222222222222,0.068,0.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.42,0.2222222222222222,0.1076923076923077,0.0,0.0,0.0,0.0,0.0,0,0.27105897435897436
371,2010-09-07,0,1,0.0,0.0,0.0,0.26916802610114193,0.18502202643171808,0.4444444444444444,0.083,0.0,0.0,0.0,0.0,0.0,0.5127272727272727,0.495,0.4444444444444444,0.13423076923076924,0.0,0.0,0.0,0.0,0.0,0,0.5387641025641026
173,2010-09-07,0,1,0.0,0.0,0.0,0.3588907014681893,0.19383259911894274,0.3333333333333333,0.06666666666666667,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.32727272727272727,0.215,0.4444444444444444,0.09153846153846154,0.0,0.0,0.0,0.0,0.1,0,0.47062179487179484
145,2010-09-07,0,1,0.0,0.0,0.0,0.1305057096247961,0.10132158590308371,0.1111111111111111,0.09566666666666666,0.0,0.0,0.0,0.0,0.0,0.509090909090909,0.465,0.4444444444444444,0.1276923076923077,0.0,0.0,0.0,0.0,0.0,0,0.33891730769230766
117,2010-09-07,0,1,0.0,0.0,0.0,0.08156606851549757,0.048458149779735685,0.0,0.07333333333333333,0.0,0.0,0.0,0.0,0.07142857142857142,0.09090909090909091,0.14,0.0,0.2153846153846154,0.0,0.0,0.0,0.0,0.1,0,0.007217948717948719
529,2010-09-07,0,1,0.0,0.0,0.0,0.20228384991843396,0.15418502202643172,0.2222222222222222,0.092,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.065,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0,0.13813333333333333
391,2010-09-07,0,1,0.0,0.0,0.0,0.08156606851549757,0.04405286343612335,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0016666666666666668
414,2010-09-07,0,1,0.0,0.0,0.0,0.11419249592169659,0.05726872246696036,0.0,0.06166666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0015416666666666669
73,2010-09-13,0,1,0.0,0.0,0.0,0.38336052202283855,0.2643171806167401,0.4444444444444444,0.08366666666666665,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.335,0.1111111111111111,0.11692307692307694,0.0,0.0,0.0,0.0,0.0,1,0.3633480769230769
429,2010-09-13,0,1,0.0,0.0,0.0,0.17944535073409465,0.12334801762114539,0.0,0.08466666666666667,0.0,0.0,0.0,0.0,0.0,0.5818181818181818,0.28500000000000003,0.1111111111111111,0.06846153846153846,0.0,0.0,0.0,0.0,0.30000000000000004,1,0.09549487179487179
472,2010-09-13,0,1,0.0,0.0,0.0,0.30995106035889075,0.2643171806167401,0.2222222222222222,0.105,0.0,0.0,0.0,0.0,0.14285714285714285,0.3090909090909091,0.305,0.4444444444444444,0.1376923076923077,0.0,0.0,0.0,0.0,0.0,1,0.4310673076923077
28,2010-09-13,0,1,0.0,0.0,0.0,0.21207177814029365,0.14096916299559473,0.1111111111111111,0.082,0.0,0.0,0.0,0.0,0.07142857142857142,0.3090909090909091,0.26,0.2222222222222222,0.11730769230769231,0.0,0.0,0.0,0.0,0.30000000000000004,1,0.2299826923076923
50,2010-09-13,0,1,0.0,0.0,0.0,0.048939641109298535,0.039647577092511016,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.027500000000000004
114,2010-09-13,0,0,0.0,0.0,0.0,0.22838499184339317,0.30837004405286345,0.1111111111111111,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.09583333333333333
360,2010-09-13,0,1,0.0,0.0,0.0,0.47308319738988586,0.4625550660792952,0.2222222222222222,0.12066666666666667,0.0,0.0,0.0,0.0,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0.16135
247,2010-09-13,0,1,0.0,0.0,0.0,0.22838499184339317,0.20704845814977976,0.0,0.11166666666666666,0.0,0.0,0.0,0.0,0.0,0.10909090909090909,0.095,0.2222222222222222,0.12153846153846155,0.0,0.0,0.0,0.0,0.0,1,0.16416346153846154
