Player ID,Date,Chase,MoM,H,H_2,F,F_2,R,B,4s,6s,SR,R_2,B_2,4s_2,6s_2,SR_2,Result Label,Rating,Wicket2_0,Wicket2_1,Wicket2_2,Wicket2_3,Wicket2_4,Wicket2_5,Wicket2_6
414,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.05,0.12126865671641791,0.023255813953488372,0.0,0.05767499923706055,0.23236514522821577,0.3425196850393701,0.10810810810810811,0.0,0.08045000076293946,0,0.20110872665975105,0,1,0,0,0,0,0
298,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.28,0.4141791044776119,0.27906976744186046,0.0,0.09457500457763672,0.2157676348547718,0.27165354330708663,0.08108108108108109,0.25,0.09420000076293945,0,0.3517567195318546,0,1,0,0,0,0,0
357,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.03544776119402985,0.046511627906976744,0.0,0.11840000152587891,0.2074688796680498,0.14173228346456693,0.13513513513513514,0.125,0.17360000610351564,0,0.17352821595836973,0,0,1,0,0,0,0
286,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.12000000000000001,0.08582089552238806,0.16279069767441862,0.0,0.19565000534057617,0.2821576763485477,0.18110236220472442,0.21621621621621623,0.0,0.18477500915527345,0,0.3160209988063796,0,0,0,0,1,0,0
529,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.03666666666666667,0.061567164179104475,0.023255813953488372,0.0,0.08332500457763672,0.0,0.001968503937007874,0.0,0.0,0.0,0,0.02774979178110758,0,0,1,0,0,0,0
173,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.061567164179104475,0.06976744186046512,0.0,0.15149999618530274,0.058091286307053944,0.025590551181102362,0.05405405405405406,0.0,0.26922500610351563,0,0.09784869213882487,0,1,0,0,0,0,0
117,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.03731343283582089,0.023255813953488372,0.0,0.1,0.09958506224066391,0.05511811023622047,0.08108108108108109,0.0,0.21427499771118164,0,0.09623308517791095,0,0,1,0,0,0,0
145,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.026119402985074626,0.023255813953488372,0.0,0.1428499984741211,0.0,0.0,0.0,0.0,0.0,0,0.022237916628519698,0,0,0,1,0,0,0
518,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.007462686567164179,0.0,0.0,0.0,0.2946058091286307,0.3661417322834646,0.24324324324324326,0.0,0.09542499542236328,0,0.20860969127560056,0,1,0,0,0,0,0
301,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.14,0.2126865671641791,0.16279069767441862,0.0,0.09210000038146973,0.04149377593360996,0.027559055118110236,0.02702702702702703,0.0,0.17854999542236327,0,0.13381189304862282,0,0,1,0,0,0,0
491,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.06333333333333334,0.15298507462686567,0.0,0.0,0.05792500019073486,0.004149377593360996,0.047244094488188976,0.0,0.0,0.010399999618530274,0,0.04894602264391766,0,1,0,0,0,0,0
391,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.1366666666666667,0.15671641791044777,0.06976744186046512,0.0,0.12199999809265137,0.02074688796680498,0.025590551181102362,0.02702702702702703,0.0,0.09614999771118164,0,0.11564323813852599,0,0,1,0,0,0,0
210,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.02666666666666667,0.026119402985074626,0.046511627906976744,0.0,0.1428499984741211,0.08713692946058091,0.08661417322834646,0.08108108108108109,0.0,0.11930000305175781,0,0.08621626732722026,0,1,0,0,0,0,0
144,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.043333333333333335,0.05037313432835821,0.023255813953488372,0.0,0.1203499984741211,0.18672199170124482,0.1437007874015748,0.10810810810810811,0.125,0.1540999984741211,0,0.16789997744791074,0,1,0,0,0,0,0
18,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0018656716417910447,0.0,0.0,0.0,0.1908713692946058,0.11417322834645668,0.02702702702702703,0.375,0.19827499389648437,0,0.13856683335363615,0,0,1,0,0,0,0
287,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.060000000000000005,0.08582089552238806,0.046511627906976744,0.0,0.09782500267028808,0.058091286307053944,0.09842519685039369,0.02702702702702703,0.0,0.07,0,0.08685952548169497,0,0,1,0,0,0,0
371,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.013333333333333334,0.03917910447761194,0.0,0.0,0.04760000228881836,0.03734439834024896,0.03543307086614173,0.05405405405405406,0.0,0.125,0,0.06478941222872807,0,0,0,0,1,0,0
388,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.018656716417910446,0.023255813953488372,0.0,0.225,0.004149377593360996,0.04133858267716535,0.0,0.0,0.01190000057220459,0,0.029827064329657815,0,0,1,0,0,0,0
536,2010-09-07,1,0.0,0.0,0.0,0.0,0.0,0.03666666666666667,0.022388059701492536,0.046511627906976744,0.0,0.22915000915527345,0.008298755186721992,0.03543307086614173,0.0,0.0,0.027774999141693117,0,0.06289892050479623,0,0,1,0,0,0,0
416,2010-09-13,1,0.0,0.0,1.0,0.0,0.0,0.060000000000000005,0.04291044776119403,0.023255813953488372,0.0,0.19565000534057617,0.5352697095435685,0.44881889763779526,0.3783783783783784,0.0,0.14142499923706056,1,0.5501156717949388,0,0,1,0,0,0,0
