Player ID,Date,MoM,Chase,5H,5H_2,10_Haul,O,R,W,ECON,0s,4s,6s,WD,NB,O_2,R_2,W_2,ECON_2,0s_2,4s_2,6s_2,WD_2,NB_2,Result Label,Rating
19,2011-03-10,0,1,0.0,0.0,0.0,0.48303715670436187,0.47297297297297297,0.1111111111111111,0.23333333333333334,0.0,0.0,0.0,0.1,0.21428571428571427,0.25,0.3006993006993007,0.25,0.13749999999999998,0.0,0.0,0.0,0.0,0.0,0,0.22593749999999999
100,2011-03-10,0,1,0.0,0.0,0.0,0.3053311793214863,0.26576576576576577,0.3333333333333333,0.20666666666666667,0.0,0.0,0.0,0.0,0.0,0.057692307692307696,0.013986013986013986,0.0,0.0275,0.0,0.0,0.0,0.0,0.0,0,0.20585416666666664
33,2011-03-10,0,1,0.0,0.0,0.0,0.2617124394184168,0.21621621621621623,0.1111111111111111,0.19333333333333333,0.0,0.0,0.0,0.0,0.0,0.25,0.23076923076923078,0.125,0.10541666666666666,0.0,0.0,0.0,0.0,0.0,0,0.14913541666666666
247,2011-03-10,0,1,0.0,0.0,0.0,0.4184168012924071,0.16216216216216217,0.2222222222222222,0.092,0.0,0.0,0.0,0.0,0.0,0.6557692307692309,0.3916083916083916,0.375,0.06791666666666665,0.0,0.0,0.0,0.0,0.0,0,0.36233125
45,2011-03-10,0,1,0.0,0.0,0.0,0.2407108239095315,0.14864864864864866,0.1111111111111111,0.14666666666666667,0.0,0.0,0.0,0.0,0.0,0.38461538461538464,0.43356643356643354,0.125,0.12916666666666665,0.0,0.0,0.0,0.0,0.0,0,0.1485625
95,2011-03-10,0,1,0.0,0.0,0.0,0.11147011308562198,0.0945945945945946,0.1111111111111111,0.2,0.0,0.0,0.0,0.0,0.0,0.2884615384615385,0.45454545454545453,0.125,0.18041666666666667,0.0,0.0,0.0,0.0,0.0,0,0.15117708333333335
173,2011-03-10,0,1,0.0,0.0,0.0,0.14378029079159935,0.1036036036036036,0.2222222222222222,0.16999999999999998,0.0,0.0,0.0,0.0,0.0,0.5192307692307693,0.42657342657342656,0.125,0.09375,0.0,0.0,0.0,0.0,0.0,0,0.21492708333333332
60,2011-03-10,0,1,0.0,0.0,0.0,0.030694668820678513,0.03153153153153153,0.0,0.23333333333333334,0.0,0.0,0.0,0.0,0.0,0.5038461538461538,0.6853146853146853,0.25,0.155,0.0,0.0,0.0,0.0,0.0,0,0.15970833333333334
19,2011-03-03,0,0,0.0,0.0,0.0,0.12762520193861066,0.0945945945945946,0.2222222222222222,0.17466666666666666,0.0,0.0,0.0,0.0,0.0,0.42307692307692313,0.3916083916083916,0.125,0.10583333333333333,0.0,0.0,0.0,0.0,0.1,0,0.21534583333333335
100,2011-03-03,0,0,0.0,0.0,0.0,0.11147011308562198,0.07657657657657657,0.0,0.16133333333333333,0.0,0.0,0.0,0.0,0.0,0.2884615384615385,0.4195804195804196,0.375,0.16666666666666666,0.0,0.0,0.0,0.25,0.0,0,0.23319999999999996
247,2011-03-03,0,0,0.0,0.0,0.0,0.014539579967689823,0.0045045045045045045,0.0,0.06666666666666667,0.0,0.0,0.0,0.0,0.0,0.13461538461538464,0.11888111888111888,0.0,0.10083333333333333,0.0,0.0,0.0,0.0,0.0,0,0.0041875
238,2011-03-03,0,0,0.0,0.0,0.0,0.6284329563812602,0.5045045045045045,0.3333333333333333,0.19133333333333333,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20478333333333332
184,2011-03-03,0,0,0.0,0.0,0.0,0.3861066235864297,0.36036036036036034,0.2222222222222222,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.13888333333333333
169,2011-03-03,0,0,0.0,0.0,0.0,0.030694668820678513,0.08558558558558559,0.0,0.6333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.015833333333333335
213,2011-03-03,0,0,0.0,0.0,0.0,0.28917609046849757,0.36936936936936937,0.3333333333333333,0.30333333333333334,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.20758333333333331
215,2011-03-03,0,0,0.0,0.0,0.0,0.35379644588045234,0.22522522522522523,0.1111111111111111,0.15133333333333332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.07045
19,2011-02-21,0,1,0.0,0.0,0.0,0.2407108239095315,0.11711711711711711,0.1111111111111111,0.11533333333333333,0.0,0.0,0.0,0.1,0.14285714285714285,0.21153846153846156,0.16783216783216784,0.375,0.09083333333333334,0.0,0.0,0.0,0.0,0.0,0,0.2968208333333333
100,2011-02-21,0,1,0.0,0.0,0.0,0.15993537964458804,0.12612612612612611,0.1111111111111111,0.18666666666666665,0.0,0.0,0.0,0.0,0.0,0.19230769230769232,0.07692307692307693,0.25,0.04583333333333334,0.0,0.0,0.0,0.0,0.0,0,0.22247916666666667
247,2011-02-21,0,1,0.0,0.0,0.0,0.17609046849757673,0.07657657657657657,0.0,0.10266666666666667,0.0,0.0,0.0,0.0,0.0,0.23653846153846156,0.25874125874125875,0.25,0.12333333333333332,0.0,0.0,0.0,0.0,0.0,0,0.15564999999999998
