Player ID,Date,Chase,MoM,H,H_2,F,F_2,R,B,4s,6s,SR,R_2,B_2,4s_2,6s_2,SR_2,Result Label,Rating,Wicket_0,Wicket_1,Wicket_3,Wicket_4,Wicket_5
107,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.010582010582010581,0.0,0.0,0.16666666666666669,0.032388663967611336,0.05213270142180095,0.0,0.0,0.06060000101725261,0,0.08301175786189366,0,0,0,0,0
164,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.04620462046204621,0.06172839506172839,0.04878048780487805,0.0,0.13333333333333333,0.004048582995951417,0.014218009478672987,0.0,0.0,0.027766666412353518,0,0.08759374241678365,0,0,0,0,0
231,2011-03-10,0,0.0,0.0,0.0,0.0,0.0,0.1188118811881188,0.21164021164021163,0.0975609756097561,0.0,0.1,0.0,0.011848341232227489,0.0,0.0,0.0,0,0.08466831683168316,0,0,0,0,0
5,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.04950495049504951,0.09347442680776014,0.04878048780487805,0.0,0.09433333079020183,0.04453441295546559,0.028436018957345974,0.06451612903225806,0.0,0.1527666727701823,0,0.11953405446876632,0,0,0,0,0
78,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.2706270627062706,0.26278659611992944,0.17073170731707318,0.0,0.18343332926432293,0.0728744939271255,0.04265402843601896,0.12903225806451613,0.0,0.16666666666666669,0,0.2957025895823421,0,1,0,0,0
60,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.07260726072607261,0.09523809523809523,0.07317073170731708,0.0,0.13580000559488933,0.31983805668016196,0.48341232227488157,0.16129032258064516,0.2857142857142857,0.06453333536783855,0,0.32771672229880505,0,1,0,0,0
45,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.09240924092409242,0.12345679012345678,0.0975609756097561,0.0,0.13333333333333333,0.05668016194331984,0.15165876777251186,0.03225806451612903,0.0,0.036450001398722336,0,0.15690933202816942,0,0,0,0,0
173,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.06349206349206349,0.0,0.0,0.11110000610351563,0.06882591093117409,0.10189573459715641,0.03225806451612903,0.0,0.06588333129882813,0,0.12855565999008473,0,1,0,0,0
95,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.0,0.008818342151675485,0.0,0.0,0.0,0.05668016194331984,0.04028436018957346,0.0,0.14285714285714285,0.1372499974568685,0,0.11673486332217692,0,0,1,0,0
74,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.07920792079207921,0.15167548500881833,0.024390243902439025,0.0,0.09299999872843424,0.0,0.011848341232227489,0.0,0.0,0.0,0,0.10684054453538196,0,0,0,0,0
10,2011-03-10,1,0.0,0.0,1.0,0.0,0.0,0.0,0.001763668430335097,0.0,0.0,0.0,0.4939271255060729,0.5260663507109005,0.3225806451612903,0.14285714285714285,0.09158333460489909,0,0.4721227378733245,0,1,0,0,0
75,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.0297029702970297,0.06525573192239859,0.0,0.0,0.08106666564941407,0.04048582995951417,0.06398104265402844,0.0,0.14285714285714285,0.06171666463216146,0,0.10127391013380435,0,1,0,0,0
143,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.09570957095709572,0.06701940035273368,0.07317073170731708,0.0,0.2543666585286459,0.17408906882591094,0.2274881516587678,0.0967741935483871,0.14285714285714285,0.07465000152587892,0,0.26879429774892255,0,0,0,0,0
100,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.02292768959435626,0.0,0.0,0.0256333335240682,0.016194331983805668,0.06398104265402844,0.0,0.0,0.0246833340326945,0,0.06440101342511773,0,1,0,0,0
247,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.0165016501650165,0.04585537918871252,0.024390243902439025,0.0,0.0640999984741211,0.08502024291497975,0.1090047393364929,0.06451612903225806,0.0,0.07608333587646485,0,0.14816807517125616,0,1,0,0,0
33,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.023102310231023104,0.015873015873015872,0.024390243902439025,0.0,0.2592333221435547,0.0,0.0,0.0,0.0,0.0,0,0.07006011699386949,0,1,0,0,0
19,2011-03-10,1,0.0,0.0,0.0,0.0,0.0,0.039603960396039604,0.01763668430335097,0.0,0.1,0.4,0.0,0.0,0.0,0.0,0.0,0,0.10872277227722774,0,0,1,0,0
180,2011-03-03,0,0.0,0.0,0.0,0.0,0.0,0.009900990099009901,0.031746031746031744,0.0,0.0,0.055533332824707037,0.08097165991902834,0.15402843601895735,0.06451612903225806,0.0,0.0512666670481364,0,0.0652128550107194,0,0,0,0,0
192,2011-03-03,0,0.0,0.0,0.0,0.0,0.0,0.0033003300330033004,0.021164021164021163,0.0,0.0,0.027766666412353518,0.1659919028340081,0.13981042654028436,0.22580645161290322,0.0,0.11581666310628257,0,0.12065831294968753,0,1,0,0,0
186,2011-03-03,0,0.0,0.0,0.0,0.0,0.0,0.0,0.003527336860670194,0.0,0.0,0.0,0.004048582995951417,0.03317535545023697,0.0,0.0,0.011899999777475993,0,0.0030125080938281316,0,0,0,0,0
29,2011-03-03,0,0.0,0.0,0.0,0.0,0.0,0.019801980198019802,0.02821869488536155,0.024390243902439025,0.0,0.125,0.10121457489878542,0.1042654028436019,0.0967741935483871,0.0,0.0946833356221517,0,0.08800683860209592,0,0,0,0,0
